"age","workclass","education_level","education-num","marital-status","occupation","relationship","race","sex","capital-gain","capital-loss","hours-per-week","native-country","income"
26,"Private","Some-college",10,"Married-civ-spouse","Transport-moving","Husband","White","Male",7298,0,55,"United-States",">50K"
90,"Private","HS-grad",9,"Never-married","Other-service","Not-in-family","Black","Male",0,2206,40,"United-States","<=50K"
22,"Private","Bachelors",13,"Never-married","Farming-fishing","Not-in-family","White","Male",0,0,20,"United-States","<=50K"
58,"Federal-gov","Bachelors",13,"Separated","Prof-specialty","Not-in-family","White","Male",4787,0,40,"United-States",">50K"
24,"State-gov","Masters",14,"Never-married","Prof-specialty","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
47,"Private","Some-college",10,"Married-civ-spouse","Sales","Husband","White","Male",0,0,50,"United-States",">50K"
27,"Private","HS-grad",9,"Never-married","Sales","Unmarried","Black","Female",0,0,30,"United-States","<=50K"
59,"Private","Bachelors",13,"Married-spouse-absent","Prof-specialty","Other-relative","Black","Female",2202,0,37,"United-States","<=50K"
56,"Private","7th-8th",4,"Divorced","Machine-op-inspct","Not-in-family","White","Female",0,0,20,"Yugoslavia","<=50K"
53,"Private","Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,60,"United-States",">50K"
40,"Private","HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,45,"United-States","<=50K"
31,"Private","Masters",14,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1902,43,"United-States",">50K"
20,"Private","Some-college",10,"Never-married","Transport-moving","Not-in-family","White","Male",0,0,60,"United-States","<=50K"
46,"Private","Masters",14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",99999,0,50,"United-States",">50K"
30,"Self-emp-not-inc","HS-grad",9,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1887,50,"United-States",">50K"
50,"Private","9th",5,"Married-civ-spouse","Craft-repair","Husband","White","Male",2885,0,40,"United-States","<=50K"
24,"Private","Preschool",1,"Never-married","Adm-clerical","Not-in-family","White","Male",0,0,40,"Mexico","<=50K"
45,"Private","HS-grad",9,"Divorced","Sales","Not-in-family","White","Female",0,0,55,"United-States","<=50K"
40,"Private","HS-grad",9,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,"United-States","<=50K"
53,"Private","HS-grad",9,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,45,"United-States","<=50K"
53,"Private","Some-college",10,"Widowed","Sales","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
36,"Private","Some-college",10,"Divorced","Exec-managerial","Unmarried","White","Female",0,0,40,"United-States","<=50K"
27,"Private","Assoc-voc",11,"Never-married","Handlers-cleaners","Own-child","White","Female",0,0,38,"United-States","<=50K"
49,"Local-gov","HS-grad",9,"Married-civ-spouse","Other-service","Other-relative","White","Male",0,0,40,"Italy","<=50K"
64,"Private","HS-grad",9,"Never-married","Adm-clerical","Not-in-family","White","Female",0,0,25,"United-States","<=50K"
39,"Private","Masters",14,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1848,50,"United-States",">50K"
55,"Private","Assoc-voc",11,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,45,"United-States","<=50K"
27,"Private","Some-college",10,"Never-married","Adm-clerical","Own-child","White","Male",0,0,30,"United-States","<=50K"
57,"Self-emp-not-inc","7th-8th",4,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,50,"United-States","<=50K"
48,"Local-gov","Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,60,"Mexico",">50K"
37,"Self-emp-not-inc","HS-grad",9,"Married-civ-spouse","Prof-specialty","Wife","White","Female",0,0,35,"United-States",">50K"
24,"Private","Some-college",10,"Never-married","Adm-clerical","Unmarried","White","Female",0,0,40,"United-States","<=50K"
46,"Private","Doctorate",16,"Divorced","Prof-specialty","Not-in-family","Asian-Pac-Islander","Male",0,0,40,"India",">50K"
54,"Private","HS-grad",9,"Married-civ-spouse","Sales","Husband","White","Male",0,0,50,"Canada",">50K"
43,"Private","Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,50,"United-States",">50K"
54,"Private","HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,2051,40,"United-States","<=50K"
35,"Private","HS-grad",9,"Married-civ-spouse","Transport-moving","Wife","White","Female",0,1902,28,"United-States",">50K"
46,"Self-emp-inc","HS-grad",9,"Married-civ-spouse","Protective-serv","Husband","White","Male",0,0,70,"United-States","<=50K"
43,"Private","Bachelors",13,"Married-spouse-absent","Sales","Unmarried","White","Female",0,0,20,"United-States","<=50K"
41,"Private","12th",8,"Divorced","Adm-clerical","Not-in-family","Amer-Indian-Eskimo","Male",0,0,40,"United-States","<=50K"
42,"Private","Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",7688,0,50,"United-States",">50K"
31,"Private","Some-college",10,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,40,"United-States","<=50K"
36,"Private","HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,50,"United-States","<=50K"
44,"Private","10th",6,"Never-married","Farming-fishing","Unmarried","White","Male",0,0,35,"United-States","<=50K"
34,"Private","HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States","<=50K"
59,"Private","10th",6,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"United-States","<=50K"
22,"Private","HS-grad",9,"Never-married","Farming-fishing","Own-child","White","Male",0,0,40,"United-States","<=50K"
37,"Private","Some-college",10,"Married-civ-spouse","Exec-managerial","Wife","White","Female",0,0,45,"United-States",">50K"
47,"State-gov","Doctorate",16,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"United-States",">50K"
50,"Private","HS-grad",9,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,40,"United-States",">50K"
32,"Self-emp-not-inc","10th",6,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,55,"United-States","<=50K"
48,"Private","Some-college",10,"Married-civ-spouse","Craft-repair","Husband","White","Male",7688,0,40,"United-States",">50K"
69,"Self-emp-not-inc","Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1258,40,"United-States","<=50K"
31,"Private","Some-college",10,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States","<=50K"
31,"Self-emp-inc","HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,50,"United-States","<=50K"
20,"Private","HS-grad",9,"Never-married","Other-service","Own-child","Black","Male",0,0,52,"United-States","<=50K"
41,"Self-emp-not-inc","HS-grad",9,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,45,"Mexico","<=50K"
73,"Private","HS-grad",9,"Married-civ-spouse","Other-service","Husband","White","Male",0,0,30,"United-States","<=50K"
27,"Private","Some-college",10,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,30,"United-States","<=50K"
76,"Private","HS-grad",9,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,20,"United-States","<=50K"
48,"Private","Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,45,"Canada",">50K"
31,"Private","Some-college",10,"Married-civ-spouse","Adm-clerical","Wife","White","Female",0,0,40,"United-States",">50K"
34,"Private","Bachelors",13,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States",">50K"
27,"Private","Some-college",10,"Never-married","Handlers-cleaners","Not-in-family","White","Male",0,0,38,"United-States","<=50K"
47,"Self-emp-not-inc","HS-grad",9,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,45,"United-States",">50K"
27,"Private","Bachelors",13,"Never-married","Other-service","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
33,"Private","Assoc-voc",11,"Never-married","Prof-specialty","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
51,"Private","HS-grad",9,"Married-civ-spouse","Other-service","Husband","White","Male",0,0,35,"United-States","<=50K"
21,"Self-emp-not-inc","Some-college",10,"Never-married","Other-service","Own-child","White","Male",0,0,30,"United-States","<=50K"
24,"Private","Some-college",10,"Never-married","Handlers-cleaners","Own-child","Black","Male",0,0,40,"United-States","<=50K"
61,"Self-emp-not-inc","HS-grad",9,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,1848,60,"United-States",">50K"
55,"Private","Bachelors",13,"Divorced","Adm-clerical","Unmarried","White","Female",0,0,73,"United-States","<=50K"
44,"Private","Masters",14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,55,"United-States",">50K"
21,"Private","5th-6th",3,"Never-married","Machine-op-inspct","Other-relative","White","Male",0,0,38,"Mexico","<=50K"
47,"Local-gov","11th",7,"Divorced","Other-service","Not-in-family","Black","Male",0,0,40,"United-States","<=50K"
44,"Private","Some-college",10,"Divorced","Craft-repair","Not-in-family","White","Male",0,0,60,"United-States","<=50K"
18,"Private","HS-grad",9,"Never-married","Other-service","Own-child","White","Female",0,0,20,"United-States","<=50K"
39,"Private","Bachelors",13,"Divorced","Prof-specialty","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
32,"Self-emp-inc","Doctorate",16,"Never-married","Prof-specialty","Not-in-family","White","Male",0,0,77,"United-States","<=50K"
28,"Private","11th",7,"Married-civ-spouse","Handlers-cleaners","Husband","White","Male",7688,0,40,"United-States",">50K"
17,"Local-gov","12th",8,"Never-married","Adm-clerical","Own-child","White","Female",0,0,12,"United-States","<=50K"
44,"Private","Some-college",10,"Divorced","Craft-repair","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
64,"Private","Prof-school",15,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"United-States",">50K"
42,"Self-emp-not-inc","Assoc-voc",11,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,50,"United-States","<=50K"
47,"Private","HS-grad",9,"Divorced","Machine-op-inspct","Unmarried","White","Female",0,0,60,"United-States","<=50K"
52,"Private","11th",7,"Married-civ-spouse","Other-service","Husband","White","Male",0,0,40,"United-States","<=50K"
35,"Private","HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States","<=50K"
56,"Private","Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,45,"United-States",">50K"
43,"Private","Bachelors",13,"Divorced","Sales","Not-in-family","White","Male",0,0,40,"United-States",">50K"
20,"Private","Some-college",10,"Never-married","Other-service","Own-child","White","Male",0,0,20,"United-States","<=50K"
26,"Private","Assoc-acdm",12,"Never-married","Other-service","Own-child","Black","Female",0,0,15,"United-States","<=50K"
45,"Private","HS-grad",9,"Separated","Sales","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
35,"Private","Bachelors",13,"Divorced","Exec-managerial","Unmarried","White","Female",0,0,40,"United-States","<=50K"
31,"Private","Some-college",10,"Never-married","Adm-clerical","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
31,"Private","HS-grad",9,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,40,"United-States",">50K"
59,"Private","10th",6,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,40,"Puerto-Rico","<=50K"
47,"State-gov","Doctorate",16,"Married-civ-spouse","Prof-specialty","Husband","White","Male",15024,0,50,"United-States",">50K"
18,"Private","11th",7,"Never-married","Sales","Own-child","White","Female",0,0,30,"United-States","<=50K"
20,"Private","12th",8,"Never-married","Machine-op-inspct","Own-child","White","Female",0,0,40,"United-States","<=50K"
52,"Local-gov","HS-grad",9,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"United-States","<=50K"
29,"Private","Some-college",10,"Never-married","Adm-clerical","Own-child","Black","Male",0,0,40,"United-States","<=50K"
25,"Private","12th",8,"Never-married","Other-service","Own-child","Black","Male",0,0,40,"United-States","<=50K"
53,"Private","HS-grad",9,"Divorced","Prof-specialty","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
59,"Private","Masters",14,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,50,"United-States",">50K"
57,"Private","9th",5,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,"Puerto-Rico","<=50K"
39,"Private","Assoc-acdm",12,"Married-civ-spouse","Sales","Husband","White","Male",0,0,50,"United-States",">50K"
28,"Private","Bachelors",13,"Never-married","Prof-specialty","Not-in-family","White","Male",0,0,47,"United-States","<=50K"
63,"Local-gov","HS-grad",9,"Married-civ-spouse","Protective-serv","Husband","White","Male",0,0,40,"United-States","<=50K"
49,"Private","HS-grad",9,"Married-civ-spouse","Transport-moving","Husband","Black","Male",0,0,48,"United-States",">50K"
